"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"Symbol-Front-Motor";1;"LOGO";;;
2;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
3;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
4;"Ref**";"Version1.0.0.";1;"Val**";;;
5;",,,,,,,,,,";"buzzardLabel";11;"";;;
6;"G***";"Logo-Front-Soldered-6mm";1;"LOGO";;;
7;"R3";"0402R";1;"2k2";;;
8;"H3,H2,H4,H1";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
9;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
10;"R2,R4";"0603R";2;"10k";;;
11;"D2,D1,D5,D4";"DO-214_DIODE";4;"M3_DIODE";;;
12;"Q1,Q3";"DPAK";2;"PMOS-DPAK";;;
13;"K2,K1";"TERMINAL_KF235-5.0-2P";2;"TERMINAL_KF235-5.0-2P";;;
14;"K3";"HEADER_MALE_3X1";1;"HEADER_MALE_3X1";;;
15;"Q4,Q2";"DPAK";2;"NMOS-DPAK";;;
16;"R5,R1";"0603R";2;"330R";;;
17;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
18;"D3";"0402LED";1;"purple";;;
